Class Name, Initialization Kind, Reason for Initialization
com.arjuna.ats.internal.jta.transaction.arjunacore.AtomicAction, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.transaction.arjunacore.BaseTransaction, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionManagerImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.transaction.arjunacore.UserTransactionImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.utils.XAUtils, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.utils.arjunacore.StatusConverter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.xa.TxInfo, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.xa.XID, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jbossatx.jta.RecoveryManagerService, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jbossatx.logging.jbossatxI18NLogger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jbossatx.logging.jbossatxI18NLogger_$logger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jbossatx.logging.jbossatxLogger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.TransactionManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.UserTransaction, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.common.JTAEnvironmentBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.common.JTAEnvironmentBeanMBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.common.jtaPropertyManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.exceptions.InactiveTransactionException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.exceptions.InvalidTerminationStateException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.exceptions.RollbackException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.logging.jtaI18NLogger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.logging.jtaI18NLogger_$logger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.logging.jtaLogger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.recovery.XARecoveryResource, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.recovery.XARecoveryResourceManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.recovery.XAResourceOrphanFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.recovery.XAResourceOrphanFilter$Vote, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.recovery.XAResourceOrphanFilter$Vote[], BUILD_TIME, arrays are initialized at build time
com.arjuna.ats.jta.recovery.XAResourceRecovery, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.recovery.XAResourceRecoveryHelper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.transaction.Transaction, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.jta.utils.JTAHelper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
